
answer|^answerLength|^category|^enabled|^pack|^playLength|^question1|^question2|^question3|^question4|^questionsEnabled|^startTime|^title|^videoId|^id|^27Pyvhk9fwi7ZjUWEf5j
2|^8|^Humour|^true|^base|^6|^The kid just pulls a really sweet face|^The kid blames it on Batman|^The kid blames it on Superman|^The kid blames it on the dog Kevin|^4|^0|^Sweet Scottish Boy|^oo5uPLA16sc|^27Pyvhk9fwi7ZjUWEf5j|^27Pyvhk9fwi7ZjUWEf5j
4|^16|^Sports|^true|^base|^21|^ Pirlo scores down the left|^Pirlo scores down the right|^Pirlo skies it|^Pirlo chips it smoothly over the goalkeeper|^4|^0|^Football Pirlo 1|^ltHUdQjymfA|^51Ogqga0IAU6p4uURJyG|^51Ogqga0IAU6p4uURJyG
4|^16|^Sports|^true|^base|^6|^Luca Toni hits it and it goes in the top right corner|^Luca Toni mishits it and falls over|^Luca Toni dives and gets a yellow card|^Luca Toni hits it and it bounces of the crossbar but doesn't go in|^4|^0|^Football Luca Toni 1|^GSBAQdbFNzE|^7NjRs6yhf2nbIygCACsx|^7NjRs6yhf2nbIygCACsx
4|^22|^Humour|^true|^base|^14|^Man does a funny laugh|^Man is holding back trying to cry|^Man has a quick sob and they both hug|^Man does a long silly cry|^4|^0|^A and E Show Intervention|^ee925OTFBCA|^8NqDxutyItYaeiw9bGLj|^8NqDxutyItYaeiw9bGLj
1|^22|^Video Game|^true|^base|^39|^Dr Robotnik steals the Super Emerald and Knuckles personally fails in trying to save it|^Dr Robotnik steals the Super Emerald and Knuckles succeeds in trying to save it|^Dr Robotnik steals the Super Emerald and Sonic personally fails in trying to save it|^Dr Robotnik tries to steal the Emeral but Sonic stops him just before |^4|^63|^Sonic vs Knuckles|^PtSqwkfXXEM|^8iWQF31YKL2pDGe67bek|^8iWQF31YKL2pDGe67bek
1|^15|^TV Show|^true|^base|^13|^The doctor starts shouting "THESE ARE MY MACHINES!"|^The doctor keeps interupting JD and saying "Not happening buddy"|^The doctor is sympathetic and starts to cry making them all feel awkward|^The doctor bursts into hysterical laughter then goes "er...no"|^4|^0|^Scrubs|^Y6N6EJ3IQuI|^99XpcGixKDfxL422bPVe|^99XpcGixKDfxL422bPVe
2|^30|^Humour|^true|^base|^6|^He tries to stay professional|^He starts swearing and loses the plot|^He faints on live TV|^He bursts into laughter|^4|^0|^Bug Flies in Mouth|^1Fz_rLpPOG8|^9OPlN7kqT6YdjplXgxIW|^9OPlN7kqT6YdjplXgxIW
2|^90|^Video Game|^true|^base|^54|^Dom jumps into the horde and fights them for his life and survives|^Dom jumps into the horde, uses the vehicle to save the other but doesn't make it himself|^Dom jumps into the horde, uses the vehicle to save the other but just makes it|^Dom jumps into the horde using his chainsaw to fight them off as a distraction but dies in the process|^4|^0|^Gears of War 3|^FkkCcNDDNqM|^C9p4kTuM7jyvwnEX1Sch|^C9p4kTuM7jyvwnEX1Sch
3|^190|^TV Show|^true|^base|^31|^Gohan breaks down in tears|^Gohan throws abuse at Cell|^Gohan powers up to Super Saiyan 2|^Gohan power up to Super Saiyan 3|^4|^0|^Gohan vs Cell|^CXvitxPX1Bo|^D1fUzHJT8yaIIPLk9Qqu|^D1fUzHJT8yaIIPLk9Qqu
1|^8|^TV Show|^true|^base|^86|^David Brent says ‘get there attention’.|^David Brent says ‘and that is how…..it works’|^David Brent just shrugs .|^David Brent says ‘The customer is sometimes wrong’|^4|^26|^David Brent in The Office|^h-wfO6_eq-A|^DHuwLWOss6RrhQhRGW71|^DHuwLWOss6RrhQhRGW71
